MsgID.STATE,1518699055.2088041,False,False
MsgID.GLOBAL_HOME,1518699057.3858941,-121.9939422,37.4137382,0.0000000
MsgID.GLOBAL_POSITION,1518699057.3908930,-121.9939423,37.4137367,0.0750000
MsgID.LOCAL_VELOCITY,1518699057.3908930,0.0000000,0.0000000,-0.0300000
MsgID.LOCAL_POSITION,1518699057.3913853,-0.1698370,-0.0116881,-0.0757612
MsgID.LOCAL_VELOCITY,1518699057.3913853,-0.0007737,0.0035768,-0.0302412
MsgID.LOCAL_POSITION,1518699057.6404035,-0.2165325,0.2065929,-0.0522607
MsgID.LOCAL_VELOCITY,1518699057.6404035,-0.0010789,0.0106939,-0.0971265
MsgID.GLOBAL_POSITION,1518699057.6413951,-121.9939399,37.4137363,0.0520000
MsgID.LOCAL_VELOCITY,1518699057.6413951,0.0000000,0.0100000,-0.0900000
MsgID.LOCAL_POSITION,1518699057.8903873,-0.1898669,0.0958899,-0.0506757
MsgID.LOCAL_VELOCITY,1518699057.8903873,-0.0003671,0.0036871,-0.5146853
MsgID.GLOBAL_POSITION,1518699057.9021459,-121.9939411,37.4137365,0.0500000
MsgID.LOCAL_VELOCITY,1518699057.9021459,0.0000000,0.0000000,-0.5100000
MsgID.GLOBAL_POSITION,1518699058.1404090,-121.9939403,37.4137377,0.4290000
MsgID.LOCAL_VELOCITY,1518699058.1404090,-0.0100000,0.0000000,-2.5000000
MsgID.LOCAL_POSITION,1518699058.1413949,-0.0574640,0.1697954,-0.4297159
MsgID.LOCAL_VELOCITY,1518699058.1413949,-0.0184888,-0.0092251,-2.5017824
MsgID.STATE,1518699058.3932726,True,False
MsgID.GLOBAL_HOME,1518699058.3958881,-121.9939422,37.4137382,0.0000000
MsgID.GLOBAL_POSITION,1518699058.3968863,-121.9939394,37.4137376,1.0990000
MsgID.LOCAL_VELOCITY,1518699058.3968863,-0.0100000,0.0000000,-2.5000000
MsgID.LOCAL_POSITION,1518699058.3983867,-0.0640609,0.2539351,-1.1004483
MsgID.LOCAL_VELOCITY,1518699058.3983867,-0.0190677,-0.0071780,-2.4984684
MsgID.GLOBAL_POSITION,1518699058.6429043,-121.9939405,37.4137365,1.4290000
MsgID.LOCAL_VELOCITY,1518699058.6429043,-0.0100000,0.0000000,-0.3100000
MsgID.LOCAL_POSITION,1518699058.6444161,-0.1901579,0.1525970,-1.4298223
MsgID.LOCAL_VELOCITY,1518699058.6444161,-0.0166089,-0.0067363,-0.3192647
MsgID.GLOBAL_POSITION,1518699058.8945086,-121.9939416,37.4137349,1.3290000
MsgID.LOCAL_VELOCITY,1518699058.8945086,-0.0100000,0.0000000,0.8800000
MsgID.LOCAL_POSITION,1518699058.9000232,-0.3658803,0.0586266,-1.3294697
MsgID.LOCAL_VELOCITY,1518699058.9000232,-0.0127877,-0.0011983,0.8805394
MsgID.GLOBAL_POSITION,1518699059.1415050,-121.9939433,37.4137356,1.0700000
MsgID.LOCAL_VELOCITY,1518699059.1415050,0.0000000,0.0100000,0.8700000
MsgID.LOCAL_POSITION,1518699059.1431291,-0.2897900,-0.0939239,-1.0693539
MsgID.LOCAL_VELOCITY,1518699059.1431291,-0.0000639,0.0127744,0.8466365
MsgID.STATE,1518699059.3835037,True,False
MsgID.GLOBAL_HOME,1518699059.3850069,-121.9939422,37.4137382,0.0000000
MsgID.GLOBAL_POSITION,1518699059.3896945,-121.9939421,37.4137374,1.2960000
MsgID.LOCAL_VELOCITY,1518699059.3896945,0.0300000,0.0300000,-2.0200000
MsgID.LOCAL_POSITION,1518699059.3900075,-0.0915219,0.0059863,-1.2965235
MsgID.LOCAL_VELOCITY,1518699059.3900075,0.0323291,0.0306455,-2.0238407
MsgID.GLOBAL_POSITION,1518699059.6446395,-121.9939397,37.4137377,1.8400000
MsgID.LOCAL_VELOCITY,1518699059.6446395,0.0100000,0.0300000,-2.4200000
MsgID.LOCAL_POSITION,1518699059.6470063,-0.0564357,0.2230773,-1.8402340
MsgID.LOCAL_VELOCITY,1518699059.6470063,0.0121922,0.0311367,-2.4280317
MsgID.GLOBAL_POSITION,1518699059.8955090,-121.9939413,37.4137365,2.2080000
MsgID.LOCAL_VELOCITY,1518699059.8955090,0.0000000,0.0200000,-0.4900000
MsgID.LOCAL_POSITION,1518699059.8975093,-0.1920400,0.0786397,-2.2089124
MsgID.LOCAL_VELOCITY,1518699059.8975093,0.0036607,0.0264472,-0.4918678
MsgID.GLOBAL_POSITION,1518699060.1440575,-121.9939420,37.4137359,2.1360000
MsgID.LOCAL_VELOCITY,1518699060.1440575,0.0000000,0.0200000,0.8500000
MsgID.LOCAL_POSITION,1518699060.1457090,-0.2529769,0.0145337,-2.1366141
MsgID.LOCAL_VELOCITY,1518699060.1457090,-0.0018592,0.0233098,0.8523140
MsgID.STATE,1518699060.3863521,True,False
MsgID.GLOBAL_HOME,1518699060.3880057,-121.9939422,37.4137382,0.0000000
MsgID.LOCAL_POSITION,1518699060.3937194,-0.1805925,0.1174137,-1.9153807
MsgID.LOCAL_VELOCITY,1518699060.3937194,0.0046729,0.0218837,1.0706706
MsgID.GLOBAL_POSITION,1518699060.3945446,-121.9939409,37.4137366,1.9150000
MsgID.LOCAL_VELOCITY,1518699060.3945446,0.0000000,0.0200000,1.0700000
MsgID.LOCAL_POSITION,1518699060.6445043,-0.0678508,0.1000704,-1.8392910
MsgID.LOCAL_VELOCITY,1518699060.6445043,-0.0094321,-0.0021957,-0.9714973
MsgID.GLOBAL_POSITION,1518699060.6455035,-121.9939411,37.4137376,1.8390000
MsgID.LOCAL_VELOCITY,1518699060.6455035,0.0000000,0.0000000,-0.9700000
MsgID.LOCAL_POSITION,1518699060.8940134,-0.2001697,0.0161584,-2.3476787
MsgID.LOCAL_VELOCITY,1518699060.8940134,-0.0194949,-0.0085975,-2.7189517
MsgID.GLOBAL_POSITION,1518699060.8950055,-121.9939420,37.4137364,2.3470000
MsgID.LOCAL_VELOCITY,1518699060.8950055,-0.0100000,0.0000000,-2.7100000
MsgID.GLOBAL_POSITION,1518699061.1445258,-121.9939415,37.4137362,3.1220000
MsgID.LOCAL_VELOCITY,1518699061.1445258,0.0000000,0.0000000,-2.1300000
MsgID.LOCAL_POSITION,1518699061.1455102,-0.2222756,0.0608204,-3.1223652
MsgID.LOCAL_VELOCITY,1518699061.1455102,-0.0047094,0.0069698,-2.1352363
MsgID.STATE,1518699061.3851137,True,False
MsgID.GLOBAL_HOME,1518699061.3880289,-121.9939422,37.4137382,0.0000000
MsgID.GLOBAL_POSITION,1518699061.3960123,-121.9939409,37.4137363,3.3880000
MsgID.LOCAL_VELOCITY,1518699061.3960123,0.0000000,0.0000000,-0.4300000
MsgID.LOCAL_POSITION,1518699061.3980134,-0.2107764,0.1189038,-3.3881359
MsgID.LOCAL_VELOCITY,1518699061.3980134,-0.0025286,0.0082059,-0.4379912
MsgID.GLOBAL_POSITION,1518699061.6461926,-121.9939408,37.4137375,3.3590000
MsgID.LOCAL_VELOCITY,1518699061.6461926,0.0000000,0.0100000,0.8100000
MsgID.LOCAL_POSITION,1518699061.6481934,-0.0730831,0.1237260,-3.3592331
MsgID.LOCAL_VELOCITY,1518699061.6481934,0.0004223,0.0111157,0.8131622
MsgID.LOCAL_POSITION,1518699061.8946893,-0.1812457,0.0242402,-3.1273544
MsgID.LOCAL_VELOCITY,1518699061.8946893,-0.0038673,0.0091083,1.2809985
MsgID.GLOBAL_POSITION,1518699061.8956888,-121.9939419,37.4137366,3.1270000
MsgID.LOCAL_VELOCITY,1518699061.8956888,0.0000000,0.0000000,1.2800000
MsgID.GLOBAL_POSITION,1518699062.1467092,-121.9939413,37.4137360,2.8630000
MsgID.LOCAL_VELOCITY,1518699062.1467092,-0.0100000,0.0200000,0.7800000
MsgID.LOCAL_POSITION,1518699062.1471922,-0.2477511,0.0849520,-2.8636575
MsgID.LOCAL_VELOCITY,1518699062.1471922,-0.0140775,0.0228141,0.7805898
MsgID.STATE,1518699062.3836951,True,False
MsgID.GLOBAL_HOME,1518699062.3843343,-121.9939422,37.4137382,0.0000000
MsgID.GLOBAL_POSITION,1518699062.3966885,-121.9939393,37.4137366,2.8270000
MsgID.LOCAL_VELOCITY,1518699062.3966885,0.0000000,0.0200000,-0.1500000
MsgID.LOCAL_POSITION,1518699062.3982263,-0.1796806,0.2590781,-2.8273294
MsgID.LOCAL_VELOCITY,1518699062.3982263,-0.0066153,0.0280795,-0.1541703
MsgID.LOCAL_POSITION,1518699062.6451890,-0.2526535,0.0084181,-2.9462504
MsgID.LOCAL_VELOCITY,1518699062.6451890,0.0023439,0.0044393,-0.3920834
MsgID.GLOBAL_POSITION,1518699062.6456914,-121.9939421,37.4137359,2.9460000
MsgID.LOCAL_VELOCITY,1518699062.6456914,0.0000000,0.0000000,-0.3900000
MsgID.LOCAL_POSITION,1518699062.8975368,-0.1608084,0.0640386,-3.0180731
MsgID.LOCAL_VELOCITY,1518699062.8975368,0.0069917,0.0096025,-0.1149056
MsgID.GLOBAL_POSITION,1518699062.8995306,-121.9939415,37.4137368,3.0180000
MsgID.LOCAL_VELOCITY,1518699062.8995306,0.0000000,0.0000000,-0.1100000
MsgID.GLOBAL_POSITION,1518699063.1496730,-121.9939402,37.4137380,3.0030000
MsgID.LOCAL_VELOCITY,1518699063.1496730,0.7000000,0.0300000,0.2000000
MsgID.LOCAL_POSITION,1518699063.1540346,-0.0261807,0.1794087,-3.0032694
MsgID.LOCAL_VELOCITY,1518699063.1540346,0.7008361,0.0342204,0.2029228
MsgID.STATE,1518699063.3841410,True,False
MsgID.GLOBAL_HOME,1518699063.3856475,-121.9939422,37.4137382,0.0000000
MsgID.LOCAL_POSITION,1518699063.3991377,0.1736460,0.1346018,-2.9522123
MsgID.LOCAL_VELOCITY,1518699063.3991377,1.9734644,0.0497808,0.1395556
MsgID.GLOBAL_POSITION,1518699063.3996277,-121.9939407,37.4137398,2.9520000
MsgID.LOCAL_VELOCITY,1518699063.3996277,1.9700000,0.0400000,0.1300000
MsgID.GLOBAL_POSITION,1518699063.6491287,-121.9939394,37.4137459,2.9510000
MsgID.LOCAL_VELOCITY,1518699063.6491287,3.1900000,0.0600000,-0.0900000
MsgID.LOCAL_POSITION,1518699063.6496344,0.8519909,0.2490095,-2.9514470
MsgID.LOCAL_VELOCITY,1518699063.6496344,3.1943018,0.0658646,-0.0939081
MsgID.LOCAL_POSITION,1518699063.8981292,1.8385645,0.2666735,-2.9816909
MsgID.LOCAL_VELOCITY,1518699063.8981292,4.0912652,0.0546971,-0.0890438
MsgID.GLOBAL_POSITION,1518699063.8981292,-121.9939392,37.4137547,2.9810000
MsgID.LOCAL_VELOCITY,1518699063.8981292,4.0900000,0.0500000,-0.0800000
MsgID.GLOBAL_POSITION,1518699064.1486754,-121.9939409,37.4137650,2.9850000
MsgID.LOCAL_VELOCITY,1518699064.1486754,4.5700000,0.0200000,0.0200000
MsgID.LOCAL_POSITION,1518699064.1511288,2.9732313,0.1133470,-2.9859786
MsgID.LOCAL_VELOCITY,1518699064.1511288,4.5741348,0.0226030,0.0222073
MsgID.STATE,1518699064.3862703,True,False
MsgID.GLOBAL_HOME,1518699064.3881328,-121.9939422,37.4137382,0.0000000
